"1140 Utica Ave, Brooklyn, NYC"
"Ten 11, Manhattan, NYC"
"Teppanya, Clark, NYC"
"The #1 cheese steak in south jersey, Merchantville, NYC"
"The Acoustik Garden Lounge, Brooklyn, NYC"
"The Addy's BBQ, Sayreville, NYC"
"The Apartment, SoHo, NYC"
"The Ashford, Jersey City, NYC"
"The Atelier Jolie, New York City, NYC"
"The Baazar at The Ritz Carlton, New York City, NYC"
"The Balcony, Atlantic City, NYC"
"The Best SoulFood In Harlem, Harlem, NYC"
"The Big Easy, Ewing, NYC"
"The Boom Room, Manhattan, NYC"
"The Boom Room, New York City, NYC"
"The Box NYC, Manhattan, NYC"
"The Cabinet, New York City, NYC"
"The City Is Ours NYC, Manhattan, NYC"
"The Concourse Club, Wood-Ridge, NYC"
"The Crabpae, Kenilworth, NYC"
"The Deluxe Way, Cranford, NYC"
"The Fine Wine Experience NYC, Manhattan, NYC"
"The Flatiron Room Murray Hill, New York City, NYC"
"The Fleur Room, Manhattan, NYC"
"The Girliest Cafe, Manhattan, NYC"
"The Golden Skillet, Ajax, NYC"
"The Good Eats Experience, Newark, NYC"
"The Green Grump Christmas Pop Up Bar, Queens, NYC"
"The Green Lounge, Paramus, NYC"
"The Greens, Manhattan, NYC"
"The Grid, Manhattan, NYC"
"The Grove Grill, Bloomfield, NYC"
"The Grub Plug, Buffalo, NYC"
"The Guesthouse Bistro & Bar, Manhattan, NYC"
"The Hairy Lemon, New York City, NYC"
"The Living Room, New York City, NYC"
"The Love Lounge, Brooklyn, NYC"
"The Love Lounge, Brooklyn, NYC"
"The Monkey Cup, New York City, NYC"
"The Nines, New York City, NYC"
"The Patio on Sussex, Newark, NYC"
"The Plaza Hotel, Manhattan, NYC"
"The Polar Lounge, Brooklyn, NYC"
"The Ready Rooftop, New York City, NYC"
"The Red Salt Room, Garden City, NYC"
"The Roof at Public Hotel, New York City, NYC"
"The Rooftop, Queens, NYC"
"The Rose Room, Garden City, NYC"
"The Roundhouse, Beacon, NYC"
"The Royal Palms Shuffleboard, New York City, NYC"
"The Shed, Westbury, NYC"
"The Simpson, Brooklyn, NYC"
"The Soul Spot, Brooklyn, NYC"
"The Union Firehouse, Mount Holly, NYC"
"The Vault, Manhattan, NYC"
"The Vixen Of Soul Food, Manhattan, NYC"
"The Vixen Of Soul Food, Manhattan, NYC"
"The Works, Denver, NYC"
"The Yard, Newark, NYC"
"The best hookah place, Astoria, NYC"
"Three Peaks Lodge, Manhattan, NYC"
"Thumkaa, Jamesburg, NYC"
"Tiff's Soul Food, Paterson, NYC"
"Tommy’s, Clifton, NYC"
"Tony and Ruth's Steaks, Camden, NYC"
"Tootsies Everything Waffle, Quinby, NYC"
"Tootsies Everything Waffle, Quinby, NYC"
"Top Pot, NJ, NYC"
"Top Tier Catering, Brooklyn, NYC"
"Top Tier II Catering, Brooklyn, NYC"
"Town Bar + Kitchen, Newark, NYC"
"Tracey's Kitchen, Trenton, NYC"
"Tracey’s Kitchen, Trenton, NYC"
"Tracey’s Kitchen, Trenton, NYC"
"Tuscana, Cherry Hill, NYC"
"Twenty Pho Hour, Orlando, NYC"
"UNLISTED, New York City, NYC"
"Umi Deptford, Deptford, NYC"
"Umideptford, Deptford, NYC"
"Underground Lounge, Queens, NYC"
"Union Bar and Restaurant, Union, NYC"
"Unnamed Restaurant, Roselle Park, NYC"
"Unnamed Restaurant, Trenton, NYC"
"Unnamed Soul Food Restaurant, Trenton, NYC"
"Unnamed Venue, Manhattan, NYC"
"Urban Backyard, New York City, NYC"
"Urban Cove, Manhattan, NYC"
"Van Leeuwen, Manhattan, NYC"
"Veras, Brooklyn, NYC"
"Vera’s Soul Food, Brooklyn, NYC"
"Vert Frais, New York City, NYC"
"Vert Frais Japanese Eatery, New York City, NYC"
"Victoria’s Kitchen, Sicklerville, NYC"
"Viola and Agnes, Houston, NYC"
"Vogue Restaurant Lounge, Bronx, NYC"
"Volpe Ristorante at The Fox Hollow, Woodbury, NYC"
"Wabi Nori, New York City, NYC"
"Wagyu Steak, Weehawken, NYC"
"Watermark, Manhattan, NYC"
"Westlight, New York City, NYC"
"Wicked on Broadway, Manhattan, NYC"
"Willy’s Munch Gourmet, Little Ferry, NYC"
"Wing Wednesday, Bronx, NYC"
"Wings & Bang Bang Tots, Pennsauken, NYC"
"Wonderland Cocktail Bar, New York City, NYC"
"Woodland, Brooklyn, NYC"
"Woodland’s, Manhattan, NYC"
"Woodzzy Bar & Outdoor Lounge, Brooklyn, NYC"
"Wus Fish House, Edison, NYC"
"Wynwood, Multiple Locations, NYC"
"Xaman Room Speakeasy, Belleville, NYC"
"Yasmeen, Clifton, NYC"
"Yingtao, New York City, NYC"
"Yummys Restaurant, Brooklyn, NYC"
"Zen lounge, Queens, NYC"
"Zen lounge, Queens, NYC"
"Zina’s Steakhouse, Teaneck, NYC"
"Zoi, Manhattan, NYC"
"best Healthy Restaurant, Manhattan, NYC"
"best Healthy Restaurant, New Jersey, NYC"
"best soul food spot, Jamaica, NYC"
"best soul food spot, NJ, NYC"
"best soul food spot, Brooklyn, NYC"
"bistro cherry hill, Cherry Hill, NYC"
"citylounge, Newark, NYC"
"domi soul fusion, New Brunswick, NYC"
"exact venue name, Clifton, NYC"
"exact venue name, city name (from content), NYC"
"favorite NJ restaurant, Weehawken Township, NYC"
"hillside nj, Hillside, NYC"
"hillside nj, hillside, NYC"
"hookah place, Astoria, NYC"
"newest and best soul food, Manhattan, NYC"
"newest and best soul food, NJ, NYC"
"nychookahlounge, Manhattan, NYC"
"one of my favorite NJ restaurants, Jersey City, NYC"
"rats restaurant, Hamilton, NYC"
"se7enhtx, Houston, NYC"
"seoul bistro, Montclair, NYC"
"sisters spot, Manhattan, NYC"
"southern restaurant, Newark, NYC"
"speakeasy, Manhattan, NYC"
"sports bar, East Rutherford, NYC"
"that dinner spot, south jersey, NYC"
"the Apartment, SoHo, NYC"
"thecityisoursnyc, Manhattan, NYC"
"unknown, Manhattan, NYC"
"unknown poké bowl restaurant, Manhattan, NYC"
"unknown poké bowl restaurant, Manhattan, NYC"
"unknown restaurant, Manhattan, NYC"
"やおきパン, Fukuoka, NYC"
"やおきパン, 福岡, NYC"
"やぐら, Fukuoka, NYC"
"やぐら, 福岡, NYC"
"今屋のハンバーガー, Fukuoka, NYC"
"今屋のハンバーガー, 福岡, NYC"
